tweet_id,hashtags
891327558926688256,BarkWeek
891087950875897856,BarkWeek
890609185150312448,BarkWeek
890006608113172480,BarkWeek
889531135344209921,BarkWeek
889278841981685760,BarkWeek
881268444196462592,Canada150
878776093423087618,PrideMonthPuppo
878776093423087618,PrideMonth
874012996292530176,PrideMonth
872820683541237760,dogsatpollingstations
872620804844003328,PrideMonth
871879754684805121,PrideMonth
855851453814013952,ScienceMarch
841439858740625411,K9VeteransDay
831315979191906304,WKCDogShow
824325613288833024,BellLetsTalk
822872901745569793,WomensMarch
796125600683540480,ImWithThor
748705597323898880,BarkWeek
748337862848962560,BarkWeek
747844099428986880,BarkWeek
716439118184652801,FinalFur
690959652130045952,notallpuppers
669680153564442624,NoDaysOff
669680153564442624,swole
